Accreditation code,Power station name,State,Installed capacity,Postcode,Fuel source(s),Accreditation start date,Suspension status,Baseline (MWh),Comment
SRPXNS58,Endeavour Huntingwood HO 456.8kW - Solar - NSW,NSW,0.4568,2148,Solar,29/11/2021,Unsuspended,0,n/a
SRPXNS57,Endeavour Spring Farm - 249.75 kW - Solar - NSW,NSW,0.2497,2526,Solar,29/11/2021,Unsuspended,0,n/a
SRPVQLU1,Gold Coast BMW - Solar w SGU - NSW,QLD,0.1998,4215,Solar,29/11/2021,Suspended,0,n/a
SRPVQLU0,Motorline BMW - Solar w SGU - QLD,QLD,0.2322,4127,Solar,29/11/2021,Suspended,0,n/a
SRPVQLT9,Carinity Gaythorne - Solar PV - QLD,QLD,0.2971,4051,Solar,1/12/2021,Unsuspended,0,n/a
SRPVQLT1,Columboola Solar Farm - QLD,QLD,202.5005,4415,Solar,1/12/2021,Unsuspended,0,n/a
SRPVSAP6,Cornerstone College - Solar w SGU - SA,SA,0.2205,5251,Solar,2/12/2021,Unsuspended,0,n/a
SRPXVC66,Prima Printing Noble Park - Solar w SGU - VIC,VIC,0.1997,3174,Solar,2/12/2021,Unsuspended,0,n/a
SRPXVC67,Iceland Cold Storage 282.6 kW - Solar - Vic,VIC,0.2826,3076,Solar,8/12/2021,Unsuspended,0,n/a
SRPVSAP7,COLE8.1 - DC Edinburgh Parks - Solar - SA,SA,1.9017,5111,Solar,9/12/2021,Suspended,0,n/a
SRPVQLT6,DHLS24_WA DHL Berrinba - Solar - QLD,QLD,0.3502,4117,Solar,9/12/2021,Unsuspended,0,n/a
SRPVQLU2,Robertson Brothers Sawmills - Solar- QLD,QLD,0.3006,4570,Solar,10/12/2021,Unsuspended,0,n/a
SRPXNS69,"Vicinity - Corner Station St And Woodriff St, Penrith - Solar - NSW",NSW,0.7792,2750,Solar,10/12/2021,Unsuspended,0,n/a
SRPXVC70,Hygain Site 10 - Solar wSGU - VIC,VIC,0.1638,3809,Solar,14/12/2021,Unsuspended,0,n/a
SRPXVC71,Hygain Site 20 - Solar wSGU - VIC,VIC,0.3888,3809,Solar,14/12/2021,Unsuspended,0,n/a
SRPXNS55,Shoalhaven Energy Project - Solar - NSW,NSW,3.926,2540,Solar,14/12/2021,Unsuspended,0,n/a
SRPXVC68,Flavour Makers Governor Road - Solar w SGU - VIC,VIC,1.2501,3195,Solar,15/12/2021,Unsuspended,0,n/a
SRPXVCI4,Flavour Makers Woodlands Drive East - Solar w SGU- VIC,VIC,0.1854,3195,Solar,15/12/2021,Unsuspended,0,n/a
SRPXVC69,Flavour Makers Woodlands Drive West - Solar w SGU- VIC,VIC,0.2538,3195,Solar,15/12/2021,Unsuspended,0,n/a
SRPVAC32,Mitch Arch - Solar wSGU - ACT,ACT,0.1995,2911,Solar,16/12/2021,Unsuspended,0,n/a
SRPXVC65,Ozito efm frasers Dandenong South No.1 - Solar PV - VIC,VIC,0.5013,3175,Solar,16/12/2021,Unsuspended,0,n/a
SRPXNS56,Williams Sonoma Frasers Horsley Park No.2 - Solar PV - NSW,NSW,0.2754,2175,Solar,16/12/2021,Unsuspended,0,n/a
SRPXNS99,"Brett Road, EUSTON - Solar - NSW",NSW,0.1998,2737,Solar,17/12/2021,Unsuspended,0,n/a
SRPXVC72,Woolworths DC Melbourne Fresh MSB1 3953 - Solar - VIC,VIC,0.7488,3029,Solar,18/12/2021,Unsuspended,0,n/a
SRPXVC73,Woolworths DC Melbourne Fresh MSB2 3953 - Solar - VIC,VIC,0.7488,3029,Solar,18/12/2021,Unsuspended,0,n/a
SRPVQLT8,58 Kingston Drive-Solar-QLD,QLD,0.7257,4212,Solar,19/12/2021,Unsuspended,0,n/a
