facility_id,financial_year_end,reporting_year,reporting_entity,facility_name,row_type,state,grid_connected,grid,primary_fuel,electricity_production_gj,electricity_production_mwh,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_mwh,jv_double_counted
99,2015,2014-15,ELECTRICITY GENERATION AND RETAIL CORPORATION,South West Cogeneration Joint Venture,F,WA,On,SWIS,Gas,3568929.0,991369.0,623890.0,37.0,623927,0.63,False
100,2015,2014-15,ELECTRICITY NETWORKS CORPORATION,Ravensthorpe Power Station,F,WA,On,SWIS,Liquid Fuel,701.0,195.0,138.0,0.0,138,0.71,False
101,2015,2014-15,ENERGEX LIMITED,Energy Impact - Bromelton Peak Generation Plant,F,QLD,On,NEM,Liquid Fuel,6745.0,1874.0,1402.0,427.0,1829,0.75,False
102,2015,2014-15,ENERGEX LIMITED,Energy Impact - Generation,F,QLD,On,NEM,Liquid Fuel,4125.0,1146.0,799.0,0.0,799,0.7,False
103,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Appin CSM Power Station,F,NSW,On,NEM,Coal Seam Methane,588901.0,163584.0,124621.0,85.0,124706,0.76,False
104,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Ardyaloon Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,6385.0,1774.0,1275.0,0.0,1275,0.72,False
105,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Beagle Bay Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,5835.0,1621.0,1151.0,0.0,1151,0.71,False
106,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Belrose and Grange Avenue LFG Power Stations,FA,NSW,On,NEM,Landfill Gas,46595.0,12943.0,815.0,6.0,821,0.06,False
107,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Berwick LFG Power Station,F,VIC,On,NEM,Landfill Gas,86977.0,24160.0,1539.0,810.0,2349,0.06,False
108,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Bidyadanga Remote Power Staiton,F,WA,Off,Off-grid,Liquid Fuel,10466.0,2907.0,2094.0,0.0,2094,0.72,False
