facility_id,facility_name,state,primary_fuel,match_status,match_score,accreditation_code,station_name,postcode,installed_capacity_mw,fuel_source,accreditation_start_date,approval_date,committed_date,suspension_status,baseline_mwh,cer_source_type,use_for_geocoding,lat,lon,geocode_source
330,Stanwell Power Station,QLD,Black Coal,nger_only,,,,,,,,,,,,,,,,
331,Swanbank E Power Station,QLD,Gas,nger_only,,,,,,,,,,,,,,,,
332,Tarong Power Stations,QLD,Black Coal,nger_only,,,,,,,,,,,,,,,,
333,Dry Creek Power Station,SA,Gas,nger_only,,,,,,,,,,,,,,,,
334,Mintaro Power Station,SA,Gas,nger_only,,,,,,,,,,,,,,,,
335,Port Lincoln Power Station,SA,Diesel,nger_only,,,,,,,,,,,,,,,,
336,Snuggery Power Station,SA,Diesel,nger_only,,,,,,,,,,,,,,,,
337,Kalgoorlie Power Station,WA,Gas,nger_only,,,,,,,,,,,,,,,,
338,Kambalda Power Station,WA,Gas,nger_only,,,,,,,,,,,,,,,,
339,Leinster Power Station,WA,Gas/Diesel,nger_only,,,,,,,,,,,,,,,,
340,Mt Keith Power Station,WA,Gas,nger_only,,,,,,,,,,,,,,,,
341,Solomon Power Station,WA,Gas/Diesel,nger_only,,,,,,,,,,,,,,,,
342,Cocos Keeling Islands Generation,WA,Liquid Fuel,nger_only,,,,,,,,,,,,,,,,
343,Exmouth Power Station,WA,Gas,nger_only,,,,,,,,,,,,,,,,
344,Broken Hill Solar Plant,NSW,Solar,exact,100.0,SRPVNS36,Broken Hill Solar Plant,2880.0,53.0,Solar,2015-07-22,,,Unsuspended,0.0,historical_accredited,True,-31.9882663,141.3932099,nominatim_facility
345,Pindari Hydro,NSW,Hydro,fuzzy,100.0,HYMINS01,Pindari Hydro-Electric Power Station,2361.0,5.4,Hydro,2001-06-27,,,Unsuspended,0.0,historical_accredited,True,-29.2974427,151.107876,nominatim_postcode
346,Yarnima Power Station,WA,Gas,nger_only,,,,,,,,,,,,,,,,
347,BIEP - CoGen,QLD,Gas,nger_only,,,,,,,,,,,,,,,,
348,GX Energy Pty Ltd,NSW,Gas,nger_only,,,,,,,,,,,,,,,,
